Fecha,Producto,Categoría,Precio,Costo,Cantidad,Sucursal,ClienteID
2025-01-20,Alternador,Eléctrico,4500,2800,2,Puebla,251
2024-09-13,Amortiguador,Suspensión,900,600,4,CDMX,164
2025-02-19,Radiador,Enfriamiento,3500,2100,3,CDMX,45
2024-08-15,Filtro de Aire,Mantenimiento,300,150,2,Puebla,203
2024-12-08,Faros LED,Iluminación,1800,1100,2,Querétaro,27
2025-04-24,Faros LED,Iluminación,1800,1100,3,Puebla,207
2025-06-02,Sensor de Oxígeno,Motor,1200,700,4,Querétaro,39
2024-07-01,Faros LED,Iluminación,1800,1100,2,Guadalajara,92
2025-06-02,Sensor de Oxígeno,Motor,1200,700,2,Querétaro,215
2025-01-24,Radiador,Enfriamiento,3500,2100,4,Querétaro,278
2024-12-09,Sensor de Oxígeno,Motor,1200,700,4,Querétaro,143
2024-10-04,Bujías,Motor,700,400,2,Puebla,178
2024-08-06,Pastillas de Freno,Mantenimiento,850,500,1,Puebla,91
2024-11-16,Bujías,Motor,700,400,4,Puebla,132
2024-09-17,Faros LED,Iluminación,1800,1100,3,Querétaro,149
2025-06-02,Batería 12V,Eléctrico,2000,1300,4,Querétaro,84
2024-06-24,Filtro de Aire,Mantenimiento,300,150,3,CDMX,235
2025-03-07,Faros LED,Iluminación,1800,1100,3,Guadalajara,9
2024-07-14,Alternador,Eléctrico,4500,2800,3,Monterrey,19
2025-03-10,Alternador,Eléctrico,4500,2800,2,CDMX,278
2025-01-20,Faros LED,Iluminación,1800,1100,3,Monterrey,188
2025-05-28,Alternador,Eléctrico,4500,2800,1,CDMX,113
2024-06-17,Bujías,Motor,700,400,2,Querétaro,209
2024-09-28,Radiador,Enfriamiento,3500,2100,3,CDMX,209
2025-01-03,Batería 12V,Eléctrico,2000,1300,3,CDMX,1
2024-10-15,Bujías,Motor,700,400,4,Guadalajara,43
2024-06-13,Batería 12V,Eléctrico,2000,1300,1,Querétaro,36
2024-07-29,Filtro de Aceite,Mantenimiento,250,120,2,Puebla,124
2024-07-17,Sensor de Oxígeno,Motor,1200,700,4,CDMX,129
2024-12-01,Filtro de Aceite,Mantenimiento,250,120,3,Guadalajara,71
2024-10-17,Sensor de Oxígeno,Motor,1200,700,2,Guadalajara,117
2024-07-11,Radiador,Enfriamiento,3500,2100,1,Guadalajara,203
2024-09-11,Filtro de Aceite,Mantenimiento,250,120,4,CDMX,26
2025-04-01,Pastillas de Freno,Mantenimiento,850,500,2,Guadalajara,32
2025-01-05,Filtro de Aceite,Mantenimiento,250,120,2,Monterrey,1
2024-10-05,Alternador,Eléctrico,4500,2800,4,Querétaro,23
2024-07-05,Bujías,Motor,700,400,2,Guadalajara,205
2025-05-15,Sensor de Oxígeno,Motor,1200,700,2,Puebla,86
2024-11-21,Faros LED,Iluminación,1800,1100,2,CDMX,216
2024-07-28,Amortiguador,Suspensión,900,600,3,Monterrey,168
2024-08-06,Filtro de Aire,Mantenimiento,300,150,1,Puebla,115
2025-01-22,Amortiguador,Suspensión,900,600,3,Monterrey,291
2024-06-15,Amortiguador,Suspensión,900,600,3,Monterrey,11
2024-12-07,Filtro de Aire,Mantenimiento,300,150,2,Guadalajara,84
2024-09-12,Bujías,Motor,700,400,3,Monterrey,133
2024-08-05,Pastillas de Freno,Mantenimiento,850,500,3,Monterrey,182
2024-10-06,Radiador,Enfriamiento,3500,2100,2,Querétaro,73
2025-03-14,Amortiguador,Suspensión,900,600,3,Puebla,139
2024-06-18,Sensor de Oxígeno,Motor,1200,700,3,Monterrey,120
2025-02-21,Radiador,Enfriamiento,3500,2100,2,Querétaro,261
2025-01-15,Bujías,Motor,700,400,1,Puebla,39
2024-09-30,Batería 12V,Eléctrico,2000,1300,4,Puebla,137
2024-09-25,Pastillas de Freno,Mantenimiento,850,500,1,Guadalajara,191
2024-07-18,Radiador,Enfriamiento,3500,2100,4,Puebla,45
2024-07-21,Sensor de Oxígeno,Motor,1200,700,2,Monterrey,48
2024-12-17,Bujías,Motor,700,400,2,Guadalajara,23
2024-09-10,Amortiguador,Suspensión,900,600,1,Querétaro,55
2024-12-15,Filtro de Aire,Mantenimiento,300,150,3,Guadalajara,130
2025-04-07,Alternador,Eléctrico,4500,2800,4,Puebla,152
2025-04-25,Radiador,Enfriamiento,3500,2100,4,Puebla,278
2024-12-02,Filtro de Aceite,Mantenimiento,250,120,1,Monterrey,106
2024-12-22,Filtro de Aire,Mantenimiento,300,150,1,Monterrey,163
2024-10-05,Pastillas de Freno,Mantenimiento,850,500,2,Monterrey,286
2024-06-10,Alternador,Eléctrico,4500,2800,3,Puebla,70
2024-09-21,Pastillas de Freno,Mantenimiento,850,500,4,Monterrey,37
2024-11-03,Filtro de Aceite,Mantenimiento,250,120,1,Querétaro,278
2024-10-30,Pastillas de Freno,Mantenimiento,850,500,1,CDMX,97
2025-03-20,Pastillas de Freno,Mantenimiento,850,500,2,Monterrey,144
2024-11-08,Bujías,Motor,700,400,2,Querétaro,100
2025-01-09,Amortiguador,Suspensión,900,600,3,Querétaro,3
2024-12-07,Amortiguador,Suspensión,900,600,1,Querétaro,66
2024-07-27,Filtro de Aceite,Mantenimiento,250,120,2,Monterrey,122
2024-07-08,Batería 12V,Eléctrico,2000,1300,2,Monterrey,162
2024-10-07,Filtro de Aceite,Mantenimiento,250,120,2,Guadalajara,267
2024-12-08,Filtro de Aceite,Mantenimiento,250,120,3,Guadalajara,190
2024-08-24,Sensor de Oxígeno,Motor,1200,700,4,Monterrey,74
2024-09-14,Sensor de Oxígeno,Motor,1200,700,3,CDMX,201
2025-02-28,Bujías,Motor,700,400,3,Guadalajara,147
2025-03-08,Filtro de Aire,Mantenimiento,300,150,1,Monterrey,169
2024-06-14,Faros LED,Iluminación,1800,1100,3,Puebla,165
2024-06-17,Filtro de Aire,Mantenimiento,300,150,2,Querétaro,127
2024-09-08,Batería 12V,Eléctrico,2000,1300,3,Puebla,53
2024-11-26,Pastillas de Freno,Mantenimiento,850,500,2,Puebla,51
2024-06-09,Batería 12V,Eléctrico,2000,1300,2,Puebla,100
2025-06-03,Bujías,Motor,700,400,2,Guadalajara,250
2025-04-14,Filtro de Aire,Mantenimiento,300,150,1,Guadalajara,9
2024-12-18,Sensor de Oxígeno,Motor,1200,700,1,Guadalajara,49
2025-01-05,Bujías,Motor,700,400,4,Guadalajara,112
2024-09-17,Alternador,Eléctrico,4500,2800,4,Querétaro,83
2025-01-13,Filtro de Aceite,Mantenimiento,250,120,3,Puebla,104
2025-05-05,Batería 12V,Eléctrico,2000,1300,1,Guadalajara,167
2024-07-21,Bujías,Motor,700,400,2,Puebla,229
2024-09-28,Pastillas de Freno,Mantenimiento,850,500,3,Monterrey,291
2024-08-28,Sensor de Oxígeno,Motor,1200,700,1,Monterrey,140
2024-11-29,Filtro de Aire,Mantenimiento,300,150,3,Guadalajara,25
2025-06-02,Filtro de Aceite,Mantenimiento,250,120,1,Puebla,144
2025-05-10,Filtro de Aceite,Mantenimiento,250,120,2,Guadalajara,242
2025-03-19,Amortiguador,Suspensión,900,600,1,Puebla,133
2025-03-26,Bujías,Motor,700,400,2,Guadalajara,154
2025-03-17,Bujías,Motor,700,400,2,CDMX,29
2025-03-03,Alternador,Eléctrico,4500,2800,3,Guadalajara,101
2025-05-10,Sensor de Oxígeno,Motor,1200,700,1,Guadalajara,31
2024-09-30,Sensor de Oxígeno,Motor,1200,700,3,Monterrey,162
2024-08-28,Radiador,Enfriamiento,3500,2100,1,Monterrey,293
2024-10-04,Pastillas de Freno,Mantenimiento,850,500,2,Monterrey,180
2025-02-15,Amortiguador,Suspensión,900,600,2,CDMX,174
2024-07-10,Sensor de Oxígeno,Motor,1200,700,3,Monterrey,247
2024-06-23,Batería 12V,Eléctrico,2000,1300,3,Querétaro,5
2024-10-22,Pastillas de Freno,Mantenimiento,850,500,1,Querétaro,280
2024-11-13,Bujías,Motor,700,400,1,CDMX,159
2025-01-29,Amortiguador,Suspensión,900,600,4,Monterrey,94
2024-11-21,Faros LED,Iluminación,1800,1100,1,Guadalajara,231
2024-11-27,Alternador,Eléctrico,4500,2800,4,CDMX,256
2024-07-19,Filtro de Aceite,Mantenimiento,250,120,1,Guadalajara,205
2025-02-17,Radiador,Enfriamiento,3500,2100,3,CDMX,63
2025-02-07,Filtro de Aire,Mantenimiento,300,150,2,Guadalajara,186
2025-03-25,Bujías,Motor,700,400,3,Querétaro,238
2024-12-15,Faros LED,Iluminación,1800,1100,2,Puebla,204
2024-10-12,Radiador,Enfriamiento,3500,2100,4,CDMX,194
2025-06-01,Amortiguador,Suspensión,900,600,3,Querétaro,88
2024-10-08,Faros LED,Iluminación,1800,1100,2,Guadalajara,163
2025-05-15,Filtro de Aceite,Mantenimiento,250,120,2,Guadalajara,230
2024-08-11,Radiador,Enfriamiento,3500,2100,1,Guadalajara,24
2025-05-24,Alternador,Eléctrico,4500,2800,1,CDMX,275
2024-07-08,Batería 12V,Eléctrico,2000,1300,1,CDMX,34
2024-08-18,Sensor de Oxígeno,Motor,1200,700,1,CDMX,87
2024-09-26,Radiador,Enfriamiento,3500,2100,1,Querétaro,6
2025-05-21,Alternador,Eléctrico,4500,2800,2,Guadalajara,95
2024-07-15,Amortiguador,Suspensión,900,600,3,CDMX,254
2025-05-31,Filtro de Aire,Mantenimiento,300,150,2,Querétaro,86
2025-03-31,Pastillas de Freno,Mantenimiento,850,500,2,Guadalajara,8
2025-02-16,Filtro de Aire,Mantenimiento,300,150,1,Puebla,115
2025-05-17,Pastillas de Freno,Mantenimiento,850,500,4,Querétaro,98
2024-07-14,Radiador,Enfriamiento,3500,2100,3,Guadalajara,252
2024-08-23,Bujías,Motor,700,400,2,Guadalajara,231
2024-09-03,Sensor de Oxígeno,Motor,1200,700,2,Puebla,184
2025-05-04,Radiador,Enfriamiento,3500,2100,3,CDMX,117
2024-08-30,Bujías,Motor,700,400,3,Monterrey,103
2024-06-11,Batería 12V,Eléctrico,2000,1300,1,Puebla,218
2024-12-25,Sensor de Oxígeno,Motor,1200,700,1,Puebla,35
2025-03-02,Bujías,Motor,700,400,4,CDMX,239
2024-10-11,Batería 12V,Eléctrico,2000,1300,1,CDMX,175
2025-03-13,Batería 12V,Eléctrico,2000,1300,3,Monterrey,221
2024-12-23,Sensor de Oxígeno,Motor,1200,700,1,CDMX,4
2024-09-08,Sensor de Oxígeno,Motor,1200,700,2,Puebla,282
2025-04-24,Filtro de Aire,Mantenimiento,300,150,1,Guadalajara,4
2024-06-24,Filtro de Aire,Mantenimiento,300,150,2,Querétaro,271
2025-05-24,Radiador,Enfriamiento,3500,2100,2,Guadalajara,55
2024-09-04,Sensor de Oxígeno,Motor,1200,700,2,Guadalajara,272
2025-05-13,Alternador,Eléctrico,4500,2800,1,Guadalajara,122
2025-05-24,Filtro de Aceite,Mantenimiento,250,120,1,Guadalajara,69
2025-01-01,Batería 12V,Eléctrico,2000,1300,3,Querétaro,297
2024-10-01,Sensor de Oxígeno,Motor,1200,700,1,Guadalajara,35
2024-10-30,Sensor de Oxígeno,Motor,1200,700,4,CDMX,93
